"Coût_chauffage","Surface_habitable_immeuble","Coût_éclairage","Conso_5_usages_é_finale","Date_réception_DPE","Coût_total_5_usages","N°DPE","Code_postal_(BAN)","Surface_habitable_logement","Coût_auxiliaires","Type_bâtiment","Coût_ECS","Conso_5_usages_par_m²_é_primaire","Coût_refroidissement","Etiquette_DPE","_score"
329.1,1268.7,111.2,4660,"2023-12-08",529.2,"2369N4225407T","69170",48.1,6.5,"appartement",160.2,103.5,0,"C",33.54032
549.5,1502.2,183.9,6917.5,"2023-11-08",814.5,"2369N3794959B","69170",88.9,11.5,"appartement",191.6,81.6,0,"C",33.54032
227.9,1715,166.8,3862,"2023-11-08",470.9,"2369N3795031V","69170",74.3,9.3,"appartement",175.9,56,0,"C",33.54032
241.5,1268.7,156.7,4118.1,"2023-12-08",478.7,"2369N4225402O","69170",67.8,9.2,"appartement",181,66,0,"C",33.54032
671.2,1268.7,209.7,8305.3,"2023-12-08",949.9,"2369N4225386Y","69170",90.7,12.3,"appartement",203.5,98.4,0,"C",33.54032
248.8,1502.2,136.2,3954,"2023-11-08",473.2,"2369N3794886G","69170",65.8,8.5,"appartement",170.1,63.8,0,"C",33.54032
176.5,1502.2,80,2924.8,"2023-11-08",344.9,"2369N3794854A","69170",38.7,5,"appartement",136.5,79.4,0,"C",33.54032
261.8,1502.2,136.2,4071.5,"2023-11-08",486.3,"2369N3794860G","69170",65.8,8.5,"appartement",170.1,65.6,0,"C",33.54032
396.5,1715,187.4,5483.6,"2023-11-08",656.4,"2369N3795057V","69170",83.5,10.4,"appartement",184.3,69.7,0,"C",33.54032
312.1,1715,144,4503.4,"2023-11-08",536.6,"2369N3795038C","69170",64.2,8,"appartement",166.5,74.3,0,"C",33.54032
355.7,1268.7,103.3,4835.1,"2023-12-08",547,"2369N4225367F","69170",44.7,6.1,"appartement",154.3,115.3,0,"C",33.54032
230.4,1502.2,128.3,3746.7,"2023-11-08",448.2,"2369N3794913H","69170",62,8,"appartement",166.6,64.1,0,"C",33.54032
504.3,1268.7,115.8,6291.4,"2023-12-08",709.5,"2369N4225396I","69170",50.1,6.8,"appartement",163.6,133.5,0,"C",33.54032
350.8,1715,179.8,5033.3,"2023-11-08",604.4,"2369N3795047L","69170",80.1,10,"appartement",181.2,66.9,0,"C",33.54032
692,134.8,47,7460.7,"2023-07-18",935,"2369N2414882E","69170",134.8,0,"maison",174,93.8,0,"B",33.54032
263.5,1715,145.6,4074.4,"2023-11-08",489.3,"2369N3794990G","69170",64.9,8.1,"appartement",167.2,66.9,0,"C",33.54032
277.6,1502.2,128.3,4171,"2023-11-08",495.4,"2369N3794869P","69170",62,8,"appartement",166.6,71,0,"C",33.54032
887.6,1268.7,236.5,10413.9,"2023-12-08",1187.2,"2369N4225428O","69170",102.3,13.9,"appartement",214.9,109.1,0,"C",33.54032
572.6,1715,237.5,7320.8,"2023-11-08",873.1,"2369N3795068G","69170",105.8,13.2,"appartement",204.9,73.2,0,"C",33.54032
272.2,1715,144,4144.7,"2023-11-08",496.7,"2369N3794987D","69170",64.2,8,"appartement",166.5,68.7,0,"C",33.54032
407.6,1268.7,166.4,5680,"2023-12-08",652.4,"2369N4225404Q","69170",72,9.8,"appartement",185.1,85,0,"C",33.54032
287.7,1715,179.8,4466.6,"2023-11-08",541.4,"2369N3795020K","69170",80.1,10,"appartement",181.2,59.8,0,"C",33.54032
635.5,1268.7,155.4,7692.8,"2023-12-08",871.6,"2369N4225373L","69170",67.2,9.1,"appartement",180.4,122.1,0,"C",33.54032
411.9,1715,164.5,5505.3,"2023-11-08",653.1,"2369N3795062A","69170",73.3,9.1,"appartement",174.9,79.2,0,"C",33.54032
325.4,1268.7,156.7,4881.4,"2023-12-08",562.6,"2369N4225380S","69170",67.8,9.2,"appartement",181,77.8,0,"C",33.54032
230.4,1502.2,128.3,3746.7,"2023-11-08",448.2,"2369N3794894O","69170",62,8,"appartement",166.6,64.1,0,"C",33.54032
248.8,1502.2,136.2,3954,"2023-11-08",473.2,"2369N3794904Y","69170",65.8,8.5,"appartement",170.1,63.8,0,"C",33.54032
463,NA,69,3364,"2023-03-08",792,"2369N0770448S","69170",NA,58,"maison",202,73.5,0,"B",33.54032
224.4,1502.2,84.9,2633.9,"2023-11-08",764,"2369N3794921P","69170",41,5.3,"appartement",505.7,147.8,0,"C",33.54032
180.6,1502.2,77.2,2395.9,"2023-11-08",695,"2369N3794862I","69170",37.3,4.8,"appartement",483.5,147.7,0,"C",33.54032
718.7,1268.7,155.4,8449.4,"2023-12-08",954.8,"2369N4225391D","69170",67.2,9.1,"appartement",180.4,133.9,0,"C",33.54032
221.8,1715,166.8,3807.3,"2023-11-08",464.8,"2369N3794982Y","69170",74.3,9.3,"appartement",175.9,55.3,0,"C",33.54032
224.3,1502.2,84.9,2633.4,"2023-11-08",763.9,"2369N3794878Y","69170",41,5.3,"appartement",505.7,147.7,0,"C",33.54032
416.2,1268.7,154.4,5694.6,"2023-12-08",651.6,"2369N4225416C","69170",66.8,9.1,"appartement",180.1,91.6,0,"C",33.54032
224.4,1502.2,84.9,2633.9,"2023-11-08",764,"2369N3794898S","69170",41,5.3,"appartement",505.7,147.8,0,"C",33.54032
147.5,1502.2,84.6,2703,"2023-11-08",321.4,"2369N3794872S","69170",40.9,5.3,"appartement",140.2,69.9,0,"C",33.54032
295.3,1502.2,136.2,4372.2,"2023-11-08",519.7,"2369N3794925T","69170",65.8,8.5,"appartement",170.1,70.1,0,"C",33.54032
281.3,1715,166,4338.8,"2023-11-08",523.8,"2369N3794964G","69170",74,9.2,"appartement",175.6,62.7,0,"C",33.54032
188.4,1715,91.4,2515,"2023-11-08",729.5,"2369N3794984A","69170",40.7,5.1,"appartement",504.3,142.1,0,"C",33.54032
197.5,1715,91.4,2546.5,"2023-11-08",738.7,"2369N3795035Z","69170",40.7,5.1,"appartement",504.3,143.9,0,"C",33.54032
287.7,1715,179.8,4466.6,"2023-11-08",541.4,"2369N3794994K","69170",80.1,10,"appartement",181.2,59.8,0,"C",33.54032
221.8,1715,166.8,3807.3,"2023-11-08",464.8,"2369N3795004U","69170",74.3,9.3,"appartement",175.9,55.3,0,"C",33.54032
349.9,NA,163.5,4441.1,"2021-09-28",804.4,"2169N0401836G","69170",83.4,3.3,"appartement",287.7,60.4,0,"C",31.573277
301.1,NA,99.1,4424.1,"2021-09-28",765.6,"2169N0401734I","69170",50.6,3.3,"appartement",362.1,94.6,0,"C",31.573277
430.9,NA,123.8,5679.1,"2021-09-27",956.8,"2169N0397068W","69170",63.1,3.3,"appartement",398.8,97.2,0,"C",31.573277
499.1,NA,130,6385.1,"2021-09-27",1022.8,"2169N0397963H","69170",66.4,3.3,"appartement",390.4,103.3,0,"C",31.573277
592.5,NA,173.7,6108.1,"2021-09-27",1032,"2169N0398116E","69170",88.7,3.3,"appartement",262.5,76,0,"C",31.573277
365.9,NA,133.3,5339.1,"2021-09-28",931.2,"2169N0401703D","69170",67.9,3.3,"appartement",428.7,85.8,0,"C",31.573277
586,135.4,46,4245,"2021-12-22",766,"2169N0972140A","69170",135.4,3,"maison",113,72.1,0,"B",31.573277
449,NA,66,3064,"2021-11-24",720,"2169N0767751X","69170",113.9,33,"maison",172,61.9,0,"A",31.573277
781.1,NA,187.5,7719.1,"2021-09-27",1177,"2169N0394454I","69170",106.4,3,"appartement",205.4,79.6,0,"C",31.573277
579.2,NA,154.4,6117.1,"2021-09-28",1018.1,"2169N0402003R","69170",78.9,3.3,"appartement",281.3,84.7,0,"C",31.573277
415.6,NA,132.9,5723.1,"2021-09-28",967.6,"2169N0402141Z","69170",67.8,3.3,"appartement",415.7,91.6,0,"C",31.573277
458.9,NA,171.5,5088.1,"2021-09-28",912.5,"2169N0401596A","69170",87.6,3.3,"appartement",278.7,65.2,0,"C",31.573277
463.6,NA,122.7,5938.1,"2021-09-28",978.5,"2169N0405978O","69170",62.6,3.3,"appartement",388.9,102,0,"C",31.573277
417.8,NA,123.1,5562.1,"2021-09-24",946.1,"2169N0387319X","69170",62.9,3.3,"appartement",401.9,95.6,0,"C",31.573277
476.4,NA,133.3,6243.1,"2021-09-28",1013,"2169N0403506M","69170",67.9,3.3,"appartement",400,99.1,0,"C",31.573277
445.8,NA,120.9,5752.1,"2021-09-28",960.9,"2169N0403485R","69170",61.7,3.3,"appartement",390.9,100.4,0,"C",31.573277
594,NA,164.6,6186.1,"2021-09-27",1031.9,"2169N0397824Y","69170",84,3.3,"appartement",270,80.8,0,"C",31.573277
501.8,NA,125.6,4869.1,"2021-09-28",851.7,"2169N0402901F","69170",64.2,3.3,"appartement",220.9,83.1,0,"C",31.573277
385.1,NA,157.3,4686.1,"2021-09-27",840.1,"2169N0398059Z","69170",80.3,3.3,"appartement",294.4,65.5,0,"C",31.573277
